"userId","movieId","rating","timestamp"
1,1,4,964982703
5,1,4,847434962
7,1,4.5,1106635946
6,2,4,845553522
8,2,4,839463806
18,2,3,1455617462
1,3,4,964981247
6,3,5,845554296
19,3,3,965707636
6,4,3,845554349
14,4,3,835441653
84,4,3,858772461
6,5,5,845553938
31,5,3,850466642
43,5,5,848994281
1,6,4,964982224
6,6,4,845553757
11,6,5,902154266
6,7,4,845554264
14,7,3,835441989
19,7,2,965706657
6,8,3,845555281
20,8,1,1054038422
43,8,5,848994814
151,9,4,855947372
179,9,3,852114156
217,9,3,955941157
6,10,3,845553253
8,10,2,839463509
11,10,3,902154316
6,11,4,845553489
8,11,4,839463806
33,11,2,939654896
19,12,1,965705347
44,12,1,869252043
120,12,3,860070182
6,13,3,845555588
19,13,3,965709102
20,13,4,1054038425
84,14,4,857653349
90,14,5,856354100
109,14,4,841109326
6,15,4,845554505
19,15,2,965710039
93,15,4,942946091
6,16,4,845553819
18,16,4.5,1461311583
28,16,2.5,1234570375
6,17,4,845553559
31,17,3,850466616
33,17,4,939654828
44,18,4,869252115
66,18,4,1113190353
68,18,2,1532897231
6,19,2,845553382
14,19,1,835441168
19,19,2,965708339
78,20,3,1252573422
199,20,2,1022161793
217,20,2,955941424
4,21,3,986935199
5,21,4,847435238
6,21,2,845553382
6,22,5,845553875
42,22,5,996219167
58,22,3,847719108
28,23,1.5,1242290862
43,23,5,848994451
99,23,4,829828005
6,24,4,845554397
32,24,3,856737205
71,24,2,864740028
6,25,3,845553695
14,25,4,835441394
31,25,2,850466616
6,26,4,845555362
32,26,4,856736347
40,26,4,832059937
6,27,3,845555402
280,27,4.5,1348531940
307,27,2.5,1186172544
33,28,5,939654815
100,28,4.5,1100184447
177,28,2.5,1435536420
23,29,4,1107341574
43,29,5,848994937
66,29,4.5,1099187646
325,30,4,1039399501
527,30,1,1033173581
603,30,4,963179273
3,31,0.5,1306463578
6,31,3,845553819
28,31,2.5,1234334920
4,32,2,945173447
6,32,4,845553426
8,32,3,839463624
5,34,4,847434881
6,34,4,845553354
8,34,5,839463546
5,36,4,847435292
6,36,5,845553726
11,36,4,902155135
21,38,2.5,1419795113
217,38,2,955945548
448,38,3,1019227804
5,39,3,847434961
8,39,3,839463644
12,39,4,1247264471
311,40,3.5,1057854804
544,40,5,850688776
6,41,4,845554962
9,41,3,1044656650
59,41,5,953609923
234,42,4,1004408338
368,42,2,975828507
414,42,2,961515844
6,43,4,845555607
33,43,2,939716739
288,43,3,976122034
11,44,2,902154593
15,44,1,1299424916
17,44,3.5,1305696245
4,45,3,986935047
6,45,3,845553907
64,45,3.5,1161564506
6,46,4,845554551
40,46,4,832059892
84,46,3,858771890
1,47,5,964983815
4,47,2,945173425
6,47,4,845553317
19,48,1,965709172
20,48,5,1054038357
21,48,3,1376822924
202,49,3,974925453
1,50,5,964982931
5,50,4,847434881
6,50,1,845553381
4,52,3,964622786
32,52,3,856736227
57,52,3,969753586
85,53,5,889468268
603,53,5,963180003
6,54,4,845555402
19,54,2,965702660
414,54,1,1027521065
84,55,4,858772543
43,57,5,848994678
84,57,3,858771951
262,57,3,840306644
4,58,3,964538444
5,58,5,847435238
7,58,3,1106635520
6,60,4,845554263
27,60,3,962685387
35,60,5,830939912
6,61,4,845555454
181,61,4,845472115
402,61,5,849598453
6,62,4,845553660
27,62,5,962684909
28,62,3.5,1242290542
226,63,3.5,1096420461
269,63,3,850865688
283,63,3,901228285
19,64,2,965708037
113,64,2,980051988
266,64,1,945669246
6,65,3,845555070
19,65,2,965708217
44,65,3,869252497
6,66,3,845555151
44,66,3,869252563
198,66,1,1034135137
90,68,3,856354249
156,68,2,946799375
385,68,3,865024733
45,69,3,951170141
56,69,4,835799457
57,69,4,965797105
1,70,3,964982400
18,70,3.5,1455735732
19,70,2,965704974
113,71,1,980051522
372,71,2,874416544
387,71,1.5,1150877466
191,72,4,829760897
307,72,2,1186173251
318,72,4.5,1417278807
117,73,4,844163663
169,73,4,1070250173
288,73,3,979163671
32,74,4,856736316
100,74,4,1100186732
113,74,3,980051922
151,75,3,855948083
414,75,1,1027521022
492,75,3,863976878
6,76,4,845555317
51,76,5,1230930644
109,76,3,841151480
603,77,4,954482106
32,78,4,856736477
414,78,3,961518581
437,78,3,859721693
6,79,3,845554907
43,79,5,848994617
150,79,3,854203229
325,80,4,1039397611
606,80,4,1171409272
90,81,3,856354174
125,81,3,1474415153
171,81,5,866904379
40,82,5,832060151
90,82,5,856354212
108,82,5,1042839636
214,83,3,853938185
90,85,5,856354195
160,85,5,991075851
191,85,5,829759809
6,86,5,845556131
42,86,4,996220615
71,86,5,864738119
6,87,3,845555300
19,87,2,965708059
104,87,3,1048795372
6,88,2,845555694
45,88,4,951170543
89,88,2,1520408790
6,89,4,845555124
57,89,2,972174827
100,89,4,1100186731
6,92,4,845555454
19,92,2,965712048
91,92,2,1112716903
6,93,4,845554584
51,93,3,1230931640
136,93,4,832450076
33,94,4,939716218
44,94,4,869252333
84,94,4,857653422
6,95,4,845553559
11,95,3,902154458
14,95,5,835441295
474,96,3.5,1053020997
182,97,4.5,1075764905
187,97,3,1180301412
317,97,3,1430598706
191,99,5,829759809
603,99,5,954482070
6,100,3,845555151
32,100,4,856736290
84,100,3,860396882
1,101,5,964980868
103,101,4,1431969655
221,101,4.5,1111178274
6,102,1,845555436
19,102,1,965708653
43,102,5,848994916
492,103,3,863976674
501,103,3,844974425
521,103,3,852713493
6,104,4,845554349
18,104,2.5,1455748792
19,104,2,965706185
6,105,3,845553757
14,105,3,835441371
38,105,3,841341618
4,106,4,986848784
19,107,2,965706886
20,107,3.5,1054038320
22,107,4.5,1268330607
603,108,4,954482070
1,110,4,964982176
5,110,4,847434880
6,110,5,845553283
16,111,4.5,1377477446
17,111,4,1326943208
18,111,4,1458516249
6,112,4,845553994
44,112,5,869251955
45,112,4,950740583
6,113,3,845556257
84,113,4,858772291
179,113,3,852115576
90,116,5,856354268
474,116,3.5,1053021622
544,116,5,850688776
604,117,3,832080636
19,118,3,965708217
414,118,2,961439170
414,119,3,961438609
524,119,3,851609623
40,121,4,832060318
603,121,4,953925072
42,122,3,996221451
84,122,3,858772698
95,122,3.5,1105400745
246,123,5,1354125195
318,123,4.5,1442351313
397,123,5,1181966712
4,125,5,964622758
216,125,5,975212597
